2017-05-04 23:56:45 26.8℃ 43.4％ 1019.83hPa
2017-05-05 18:11:04 31.8℃ 27.8％ 1015.51hPa
2017-05-05 18:11:26 31.7℃ 27.7％ 1015.54hPa
2017-05-05 18:11:48 31.8℃ 27.7％ 1015.52hPa
2017-05-05 18:12:11 31.8℃ 27.8％ 1015.59hPa
2017-05-05 18:12:33 31.8℃ 27.8％ 1015.60hPa
2017-05-05 18:12:55 31.8℃ 27.8％ 1015.57hPa
2017-05-05 18:13:18 31.8℃ 27.8％ 1015.57hPa
2017-05-05 18:13:40 31.7℃ 27.7％ 1015.54hPa
2017-05-05 18:14:02 31.8℃ 27.7％ 1015.61hPa
2017-05-05 18:14:24 31.7℃ 27.7％ 1015.64hPa
2017-05-05 18:14:47 31.7℃ 27.7％ 1015.51hPa
2017-05-05 18:15:09 31.8℃ 27.8％ 1015.56hPa
2017-05-05 18:15:31 31.7℃ 27.8％ 1015.58hPa
2017-05-05 18:15:54 31.7℃ 27.8％ 1015.66hPa
2017-05-05 18:16:16 31.7℃ 27.8％ 1015.62hPa
2017-05-05 18:16:38 31.7℃ 27.7％ 1015.60hPa
2017-05-05 18:17:01 31.7℃ 27.8％ 1015.58hPa
2017-05-05 18:17:23 31.7℃ 27.8％ 1015.66hPa
2017-05-05 18:17:45 31.7℃ 27.8％ 1015.66hPa
2017-05-05 18:18:07 31.7℃ 27.8％ 1015.73hPa
2017-05-05 18:18:30 31.6℃ 27.9％ 1015.60hPa
2017-05-05 18:18:52 31.7℃ 27.9％ 1015.67hPa
2017-05-05 18:19:19 31.6℃ 27.8％ 1015.65hPa
2017-05-05 18:19:42 31.7℃ 27.8％ 1015.65hPa
2017-05-05 18:20:09 31.7℃ 27.8％ 1015.59hPa
2017-05-05 18:20:34 31.7℃ 27.8％ 1015.67hPa
2017-05-05 18:20:56 31.5℃ 27.8％ 1015.53hPa
2017-05-05 18:21:19 31.7℃ 27.8％ 1015.64hPa
2017-05-05 18:21:41 31.6℃ 27.8％ 1015.65hPa
2017-05-05 18:22:03 31.6℃ 27.8％ 1015.59hPa
2017-05-05 18:22:28 31.7℃ 27.8％ 1015.65hPa
2017-05-05 18:22:50 31.6℃ 27.8％ 1015.63hPa
2017-05-05 18:23:15 31.7℃ 27.9％ 1015.54hPa
2017-05-05 18:23:37 31.7℃ 27.9％ 1015.53hPa
2017-05-05 18:24:00 31.6℃ 27.9％ 1015.57hPa
2017-05-05 18:24:22 31.7℃ 27.9％ 1015.68hPa
2017-05-05 18:24:44 31.7℃ 27.9％ 1015.63hPa
2017-05-05 18:25:07 31.5℃ 27.9％ 1015.63hPa
2017-05-05 18:25:29 31.6℃ 27.9％ 1015.59hPa
2017-05-05 18:25:51 31.6℃ 27.9％ 1015.66hPa
2017-05-05 18:26:14 31.6℃ 27.9％ 1015.64hPa
2017-05-05 18:26:36 31.5℃ 27.9％ 1015.56hPa
2017-05-05 18:27:01 31.7℃ 27.9％ 1015.60hPa
2017-05-05 18:27:23 31.6℃ 27.9％ 1015.61hPa
2017-05-05 18:27:45 31.6℃ 27.9％ 1015.56hPa
2017-05-05 18:28:08 31.6℃ 27.9％ 1015.58hPa
2017-05-05 18:28:32 31.6℃ 28.0％ 1015.64hPa
2017-05-05 18:28:57 31.5℃ 28.0％ 1015.61hPa
2017-05-05 18:29:20 31.6℃ 28.0％ 1015.58hPa
2017-05-05 18:29:42 31.5℃ 28.0％ 1015.57hPa
2017-05-05 18:30:04 31.5℃ 28.0％ 1015.55hPa
2017-05-05 18:30:27 31.6℃ 28.0％ 1015.55hPa
2017-05-05 18:30:49 31.4℃ 28.0％ 1015.55hPa
2017-05-05 18:31:11 31.5℃ 28.0％ 1015.59hPa
2017-05-05 18:31:33 31.5℃ 28.0％ 1015.62hPa
2017-05-05 18:31:56 31.4℃ 28.0％ 1015.58hPa
2017-05-05 18:32:18 31.5℃ 28.1％ 1015.61hPa
2017-05-05 18:32:40 31.5℃ 28.0％ 1015.61hPa
2017-05-05 18:33:05 31.5℃ 28.1％ 1015.57hPa
2017-05-05 18:33:28 31.5℃ 28.1％ 1015.64hPa
2017-05-05 18:33:50 31.5℃ 28.1％ 1015.67hPa
2017-05-05 18:34:12 31.4℃ 28.1％ 1015.64hPa
2017-05-05 18:34:35 31.4℃ 28.1％ 1015.56hPa
2017-05-05 18:34:57 31.4℃ 28.1％ 1015.66hPa
2017-05-05 18:35:19 31.4℃ 28.1％ 1015.62hPa
2017-05-05 18:35:41 31.5℃ 28.1％ 1015.62hPa
2017-05-05 18:36:04 31.4℃ 28.1％ 1015.55hPa
2017-05-05 18:36:26 31.5℃ 28.2％ 1015.59hPa
2017-05-05 18:36:48 31.5℃ 28.2％ 1015.56hPa
2017-05-05 18:37:11 31.4℃ 28.1％ 1015.67hPa
2017-05-05 18:37:33 31.4℃ 28.1％ 1015.59hPa
2017-05-05 18:37:55 31.4℃ 28.2％ 1015.63hPa
2017-05-05 18:38:18 31.3℃ 28.2％ 1015.63hPa
2017-05-05 18:38:40 31.4℃ 28.2％ 1015.54hPa
2017-05-05 18:39:02 31.4℃ 28.2％ 1015.64hPa
2017-05-05 18:39:30 31.3℃ 28.2％ 1015.58hPa
2017-05-05 18:39:54 31.4℃ 28.2％ 1015.54hPa
2017-05-05 18:40:19 31.5℃ 28.3％ 1015.54hPa
2017-05-05 18:40:42 31.4℃ 28.2％ 1015.59hPa
2017-05-05 18:41:04 31.4℃ 28.2％ 1015.59hPa
2017-05-05 18:41:26 31.4℃ 28.2％ 1015.59hPa
2017-05-05 18:41:48 31.5℃ 28.3％ 1015.58hPa
2017-05-05 18:42:11 31.4℃ 28.3％ 1015.52hPa
2017-05-05 18:42:33 31.4℃ 28.3％ 1015.61hPa
2017-05-05 18:42:55 31.5℃ 28.3％ 1015.54hPa
2017-05-05 18:43:18 31.5℃ 28.3％ 1015.61hPa
2017-05-05 18:43:40 31.4℃ 28.3％ 1015.56hPa
2017-05-05 18:44:02 31.4℃ 28.3％ 1015.60hPa
2017-05-05 18:44:25 31.3℃ 28.3％ 1015.56hPa
2017-05-05 18:44:52 31.3℃ 28.3％ 1015.57hPa
2017-05-05 18:45:14 31.4℃ 28.4％ 1015.54hPa
2017-05-05 18:45:37 31.3℃ 28.4％ 1015.59hPa
2017-05-05 18:45:59 31.3℃ 28.4％ 1015.64hPa
2017-05-05 18:46:21 31.4℃ 28.4％ 1015.62hPa
2017-05-05 18:46:44 31.3℃ 28.4％ 1015.55hPa
2017-05-05 18:47:06 31.3℃ 28.3％ 1015.52hPa
2017-05-05 18:47:28 31.3℃ 28.3％ 1015.62hPa
2017-05-05 18:47:51 31.4℃ 28.4％ 1015.64hPa
2017-05-05 18:48:13 31.4℃ 28.4％ 1015.63hPa
2017-05-05 18:48:38 31.3℃ 28.4％ 1015.56hPa
2017-05-05 18:49:00 31.4℃ 28.4％ 1015.60hPa
2017-05-05 18:49:22 31.4℃ 28.4％ 1015.64hPa
2017-05-05 18:49:45 31.3℃ 28.4％ 1015.58hPa
2017-05-05 18:50:07 31.3℃ 28.4％ 1015.59hPa
2017-05-05 18:50:29 31.3℃ 28.4％ 1015.65hPa
2017-05-05 18:50:52 31.3℃ 28.4％ 1015.62hPa
2017-05-05 18:51:16 31.3℃ 28.4％ 1015.54hPa
2017-05-05 18:51:39 31.3℃ 28.5％ 1015.56hPa
2017-05-05 18:52:01 31.2℃ 28.5％ 1015.59hPa
2017-05-05 18:52:23 31.3℃ 28.5％ 1015.62hPa
2017-05-05 18:52:45 31.3℃ 28.5％ 1015.60hPa
2017-05-05 18:53:08 31.1℃ 28.5％ 1015.55hPa
2017-05-05 18:53:30 31.2℃ 28.6％ 1015.52hPa
2017-05-05 18:53:57 31.2℃ 28.6％ 1015.57hPa
2017-05-05 18:54:19 31.2℃ 28.6％ 1015.60hPa
2017-05-05 18:54:42 31.3℃ 28.6％ 1015.55hPa
2017-05-05 18:55:04 31.2℃ 28.6％ 1015.57hPa
2017-05-05 18:55:26 31.3℃ 28.6％ 1015.59hPa
2017-05-05 18:55:48 31.3℃ 28.5％ 1015.50hPa
2017-05-05 18:56:11 31.2℃ 28.5％ 1015.54hPa
2017-05-05 18:56:33 31.2℃ 28.5％ 1015.55hPa
2017-05-05 18:56:55 31.3℃ 28.6％ 1015.59hPa
2017-05-05 18:57:18 31.2℃ 28.6％ 1015.49hPa
2017-05-05 18:57:40 31.2℃ 28.6％ 1015.54hPa
2017-05-05 18:58:02 31.1℃ 28.6％ 1015.51hPa
2017-05-05 18:58:24 31.2℃ 28.6％ 1015.55hPa
2017-05-05 18:58:47 31.2℃ 28.6％ 1015.61hPa
2017-05-05 18:59:09 31.2℃ 28.7％ 1015.53hPa
2017-05-05 18:59:34 31.3℃ 28.7％ 1015.52hPa
2017-05-05 18:59:56 31.1℃ 28.6％ 1015.58hPa
2017-05-05 19:00:19 31.2℃ 28.6％ 1015.54hPa
2017-05-05 19:00:41 31.2℃ 28.6％ 1015.56hPa
2017-05-05 19:01:03 31.2℃ 28.6％ 1015.53hPa
2017-05-05 19:01:31 31.2℃ 28.7％ 1015.53hPa
2017-05-05 19:01:53 31.2℃ 28.7％ 1015.55hPa
2017-05-05 19:02:15 31.2℃ 28.7％ 1015.62hPa
2017-05-05 19:02:37 31.2℃ 28.7％ 1015.59hPa
2017-05-05 19:03:00 31.3℃ 28.8％ 1015.61hPa
2017-05-05 19:03:22 31.2℃ 28.8％ 1015.67hPa
2017-05-05 19:03:44 31.3℃ 28.7％ 1015.61hPa
2017-05-05 19:04:07 31.2℃ 28.7％ 1015.59hPa
2017-05-05 19:04:29 31.2℃ 28.7％ 1015.64hPa
2017-05-05 19:04:51 31.1℃ 28.7％ 1015.66hPa
2017-05-05 19:05:14 31.1℃ 28.8％ 1015.67hPa
2017-05-05 19:05:36 31.2℃ 28.8％ 1015.64hPa
2017-05-05 19:05:58 31.2℃ 28.8％ 1015.66hPa
2017-05-05 19:06:20 31.2℃ 28.8％ 1015.67hPa
2017-05-05 19:06:43 31.3℃ 28.9％ 1015.69hPa
2017-05-05 19:07:05 31.2℃ 28.8％ 1015.74hPa
2017-05-05 19:07:27 31.1℃ 28.8％ 1015.72hPa
2017-05-05 19:07:50 31.1℃ 28.8％ 1015.64hPa
2017-05-05 19:08:12 31.2℃ 28.8％ 1015.68hPa
2017-05-05 19:08:34 31.2℃ 28.9％ 1015.73hPa
2017-05-05 19:08:57 31.2℃ 28.9％ 1015.72hPa
2017-05-05 19:09:19 31.2℃ 28.9％ 1015.76hPa
2017-05-05 19:09:41 31.2℃ 29.0％ 1015.75hPa
2017-05-05 19:10:04 31.2℃ 29.0％ 1015.70hPa
2017-05-05 19:10:26 31.2℃ 28.9％ 1015.72hPa
2017-05-05 19:10:48 31.2℃ 28.9％ 1015.78hPa
2017-05-05 19:11:10 31.3℃ 28.9％ 1015.71hPa
2017-05-05 19:11:35 31.2℃ 28.9％ 1015.70hPa
2017-05-05 19:11:58 31.2℃ 28.9％ 1015.71hPa
2017-05-05 19:12:22 31.2℃ 28.9％ 1015.75hPa
2017-05-05 19:12:45 31.2℃ 28.9％ 1015.74hPa
2017-05-05 19:13:07 31.1℃ 28.9％ 1015.74hPa
2017-05-05 19:13:29 31.2℃ 29.0％ 1015.77hPa
2017-05-05 19:13:52 31.1℃ 29.0％ 1015.78hPa
2017-05-05 19:14:17 31.2℃ 29.0％ 1015.75hPa
2017-05-05 19:14:39 31.1℃ 29.1％ 1015.74hPa
2017-05-05 19:15:01 31.2℃ 29.1％ 1015.82hPa
2017-05-05 19:15:23 31.1℃ 29.1％ 1015.76hPa
2017-05-05 19:15:48 31.2℃ 29.1％ 1015.74hPa
2017-05-05 19:16:10 31.1℃ 29.1％ 1015.78hPa
2017-05-05 19:16:33 31.1℃ 29.1％ 1015.84hPa
2017-05-05 19:16:57 31.1℃ 29.1％ 1015.79hPa
2017-05-05 19:17:20 31.1℃ 29.1％ 1015.78hPa
2017-05-05 19:17:42 31.1℃ 29.1％ 1015.77hPa
2017-05-05 19:18:04 31.1℃ 29.1％ 1015.81hPa
2017-05-05 19:18:27 31.2℃ 29.1％ 1015.76hPa
2017-05-05 19:18:49 31.1℃ 29.1％ 1015.75hPa
2017-05-05 19:19:11 31.1℃ 29.1％ 1015.80hPa
2017-05-05 19:19:36 31.1℃ 29.2％ 1015.78hPa
2017-05-05 19:19:58 31.2℃ 29.2％ 1015.87hPa
2017-05-05 19:20:21 31.2℃ 29.2％ 1015.77hPa
2017-05-05 19:20:43 31.0℃ 29.2％ 1015.85hPa
2017-05-05 19:21:08 31.1℃ 29.2％ 1015.80hPa
2017-05-05 19:21:30 31.1℃ 29.2％ 1015.86hPa
2017-05-05 19:21:53 31.0℃ 29.2％ 1015.91hPa
2017-05-05 19:22:15 30.9℃ 29.3％ 1015.84hPa
2017-05-05 19:22:37 31.1℃ 29.3％ 1015.90hPa
2017-05-05 19:23:02 31.0℃ 29.3％ 1015.87hPa
2017-05-05 19:23:24 31.1℃ 29.3％ 1015.82hPa
2017-05-05 19:23:47 31.1℃ 29.3％ 1015.92hPa
2017-05-05 19:24:09 31.1℃ 29.3％ 1015.87hPa
2017-05-05 19:24:31 31.1℃ 29.3％ 1015.91hPa
2017-05-05 19:24:54 31.1℃ 29.3％ 1015.84hPa
2017-05-05 19:25:23 31.2℃ 29.3％ 1015.87hPa
2017-05-05 19:25:46 31.0℃ 29.3％ 1015.89hPa
2017-05-05 19:26:08 31.1℃ 29.3％ 1015.90hPa
2017-05-05 19:26:30 31.0℃ 29.3％ 1015.82hPa
2017-05-05 19:26:53 30.9℃ 29.3％ 1015.84hPa
2017-05-05 19:27:15 31.0℃ 29.3％ 1015.89hPa
2017-05-05 19:27:37 31.0℃ 29.4％ 1015.89hPa
2017-05-05 19:27:59 31.0℃ 29.4％ 1015.86hPa
2017-05-05 19:28:22 31.0℃ 29.4％ 1015.92hPa
2017-05-05 19:28:44 31.0℃ 29.4％ 1015.95hPa
2017-05-05 19:29:09 31.1℃ 29.5％ 1015.87hPa
2017-05-05 19:29:34 31.0℃ 29.5％ 1015.89hPa
2017-05-05 19:29:56 31.0℃ 29.5％ 1015.94hPa
2017-05-05 19:30:18 31.0℃ 29.5％ 1016.01hPa
2017-05-05 19:30:41 31.0℃ 29.5％ 1015.97hPa
2017-05-05 19:31:03 31.2℃ 29.5％ 1015.93hPa
2017-05-05 19:31:25 31.0℃ 29.5％ 1016.03hPa
2017-05-05 19:31:48 31.0℃ 29.5％ 1015.94hPa
2017-05-05 19:32:10 30.9℃ 29.5％ 1015.97hPa
2017-05-05 19:32:32 31.0℃ 29.5％ 1016.01hPa
2017-05-05 19:32:55 30.9℃ 29.5％ 1015.96hPa
2017-05-05 19:33:17 31.0℃ 29.5％ 1015.96hPa
2017-05-05 19:33:39 31.0℃ 29.6％ 1016.03hPa
2017-05-05 19:34:01 31.0℃ 29.6％ 1016.02hPa
2017-05-05 19:34:24 31.0℃ 29.6％ 1015.96hPa
2017-05-05 19:34:49 31.0℃ 29.6％ 1016.01hPa
2017-05-05 19:35:11 31.0℃ 29.5％ 1015.99hPa
2017-05-05 19:35:33 31.1℃ 29.6％ 1015.98hPa
2017-05-05 19:35:56 31.0℃ 29.6％ 1015.95hPa
2017-05-05 19:36:25 31.1℃ 29.6％ 1015.96hPa
2017-05-05 19:36:53 31.0℃ 29.6％ 1015.94hPa
2017-05-05 19:37:15 31.0℃ 29.6％ 1016.02hPa
2017-05-05 19:37:37 31.0℃ 29.6％ 1016.02hPa
2017-05-05 19:38:00 31.0℃ 29.6％ 1015.97hPa
2017-05-05 19:38:22 31.0℃ 29.6％ 1016.04hPa
2017-05-05 19:38:44 31.0℃ 29.6％ 1016.07hPa
2017-05-05 19:39:07 30.9℃ 29.7％ 1015.94hPa
2017-05-05 19:39:29 31.0℃ 29.7％ 1016.05hPa
2017-05-05 19:39:51 31.0℃ 29.7％ 1016.07hPa
2017-05-05 19:40:14 30.8℃ 29.7％ 1016.03hPa
2017-05-05 19:40:36 31.0℃ 29.7％ 1016.04hPa
2017-05-05 19:41:01 30.8℃ 29.8％ 1015.99hPa
2017-05-05 19:41:23 31.0℃ 29.8％ 1016.04hPa
2017-05-05 19:41:48 31.0℃ 29.8％ 1016.06hPa
2017-05-05 19:42:10 31.0℃ 29.8％ 1016.03hPa
2017-05-05 19:42:32 31.0℃ 29.8％ 1016.04hPa
2017-05-05 19:42:57 31.0℃ 29.8％ 1016.01hPa
2017-05-05 19:43:19 30.9℃ 29.8％ 1016.06hPa
2017-05-05 19:43:42 30.9℃ 29.8％ 1016.08hPa
2017-05-05 19:44:04 30.9℃ 29.8％ 1016.06hPa
2017-05-05 19:44:26 30.9℃ 29.8％ 1016.03hPa
2017-05-05 19:44:49 31.0℃ 29.8％ 1016.09hPa
2017-05-05 19:45:11 31.0℃ 29.8％ 1016.14hPa
2017-05-05 19:45:33 31.0℃ 29.8％ 1016.06hPa
2017-05-05 19:45:56 30.9℃ 29.8％ 1016.14hPa
2017-05-05 19:46:18 30.9℃ 29.8％ 1016.07hPa
2017-05-05 19:46:43 30.9℃ 29.8％ 1016.08hPa
2017-05-05 19:47:05 30.9℃ 29.8％ 1016.04hPa
2017-05-05 19:47:27 31.0℃ 29.8％ 1016.12hPa
2017-05-05 19:47:50 30.8℃ 29.8％ 1016.01hPa
2017-05-05 19:48:12 30.9℃ 29.8％ 1016.04hPa
2017-05-05 19:48:34 30.9℃ 29.8％ 1016.09hPa
2017-05-05 19:48:57 30.9℃ 29.8％ 1016.05hPa
2017-05-05 19:49:19 30.9℃ 29.9％ 1016.08hPa
2017-05-05 19:49:41 30.9℃ 29.9％ 1016.14hPa
2017-05-05 19:50:04 30.9℃ 30.0％ 1016.05hPa
2017-05-05 19:50:26 30.8℃ 30.0％ 1016.08hPa
2017-05-05 19:50:48 30.8℃ 30.0％ 1016.13hPa
2017-05-05 19:51:10 30.9℃ 30.0％ 1016.18hPa
2017-05-05 19:51:33 30.8℃ 30.0％ 1016.13hPa
2017-05-05 19:51:55 30.8℃ 29.9％ 1016.17hPa
2017-05-05 19:52:17 30.8℃ 29.9％ 1016.15hPa
2017-05-05 19:52:40 30.8℃ 29.9％ 1016.17hPa
2017-05-05 19:53:02 30.7℃ 29.9％ 1016.17hPa
2017-05-05 19:53:24 30.9℃ 30.0％ 1016.12hPa
2017-05-05 19:53:46 30.8℃ 30.0％ 1016.13hPa
2017-05-05 19:54:09 30.9℃ 30.0％ 1016.14hPa
2017-05-05 19:54:31 30.8℃ 30.0％ 1016.13hPa
2017-05-05 19:54:53 30.8℃ 30.0％ 1016.15hPa
2017-05-05 19:55:16 30.7℃ 30.0％ 1016.19hPa
2017-05-05 19:55:38 30.8℃ 30.0％ 1016.20hPa
2017-05-05 19:56:00 30.8℃ 30.1％ 1016.20hPa
2017-05-05 19:56:23 30.8℃ 30.1％ 1016.21hPa
2017-05-05 19:56:45 30.7℃ 30.2％ 1016.21hPa
2017-05-05 19:57:10 30.8℃ 30.2％ 1016.23hPa
2017-05-05 19:57:32 30.8℃ 30.2％ 1016.21hPa
2017-05-05 19:57:54 30.8℃ 30.2％ 1016.28hPa
2017-05-05 19:58:17 30.7℃ 30.2％ 1016.18hPa
2017-05-05 19:58:39 30.7℃ 30.2％ 1016.25hPa
2017-05-05 19:59:01 30.7℃ 30.2％ 1016.28hPa
2017-05-05 19:59:24 30.7℃ 30.2％ 1016.26hPa
2017-05-05 19:59:46 30.7℃ 30.2％ 1016.30hPa
2017-05-05 20:00:11 30.7℃ 30.2％ 1016.29hPa
2017-05-05 20:00:36 30.7℃ 30.2％ 1016.30hPa
2017-05-05 20:01:00 30.8℃ 30.2％ 1016.33hPa
2017-05-05 20:01:23 30.7℃ 30.2％ 1016.24hPa
2017-05-05 20:01:45 30.8℃ 30.2％ 1016.29hPa
2017-05-05 20:02:07 30.8℃ 30.2％ 1016.30hPa
2017-05-05 20:02:32 30.8℃ 30.2％ 1016.35hPa
2017-05-05 20:02:54 30.8℃ 30.2％ 1016.29hPa
2017-05-05 20:03:17 30.7℃ 30.3％ 1016.31hPa
2017-05-05 20:03:42 30.8℃ 30.3％ 1016.22hPa
2017-05-05 20:04:04 30.9℃ 30.3％ 1016.23hPa
2017-05-05 20:04:26 31.0℃ 30.3％ 1016.19hPa
2017-05-05 20:04:49 31.0℃ 30.3％ 1016.27hPa
2017-05-05 20:05:11 31.0℃ 30.3％ 1016.29hPa
2017-05-05 20:05:33 31.2℃ 30.3％ 1016.31hPa
2017-05-05 20:05:55 31.1℃ 30.2％ 1016.29hPa
2017-05-05 20:06:18 31.1℃ 30.0％ 1016.32hPa
2017-05-05 20:06:40 31.1℃ 29.9％ 1016.30hPa
2017-05-05 20:07:02 31.2℃ 29.8％ 1016.34hPa
2017-05-05 20:07:25 31.3℃ 29.8％ 1016.28hPa
2017-05-05 20:07:47 31.2℃ 29.8％ 1016.27hPa
2017-05-05 20:08:09 31.2℃ 29.8％ 1016.34hPa
2017-05-05 20:08:32 31.3℃ 29.8％ 1016.24hPa
2017-05-05 20:08:56 31.3℃ 29.9％ 1016.33hPa
2017-05-05 20:09:21 31.3℃ 29.9％ 1016.27hPa
2017-05-05 20:09:44 31.3℃ 29.9％ 1016.32hPa
2017-05-05 20:10:06 31.2℃ 29.8％ 1016.29hPa
2017-05-05 20:10:28 31.2℃ 29.8％ 1016.28hPa
2017-05-05 20:10:50 31.3℃ 29.8％ 1016.34hPa
2017-05-05 20:11:13 31.3℃ 29.8％ 1016.36hPa
2017-05-05 20:11:35 31.3℃ 29.9％ 1016.35hPa
2017-05-05 20:11:57 31.2℃ 29.8％ 1016.34hPa
2017-05-05 20:12:22 31.3℃ 29.9％ 1016.35hPa
2017-05-05 20:12:44 31.2℃ 29.9％ 1016.30hPa
2017-05-05 20:13:07 31.3℃ 29.9％ 1016.36hPa
2017-05-05 20:13:29 31.2℃ 29.9％ 1016.37hPa
2017-05-05 20:13:51 31.2℃ 30.0％ 1016.39hPa
2017-05-05 20:14:14 31.3℃ 30.1％ 1016.32hPa
2017-05-05 20:14:38 31.2℃ 30.3％ 1016.33hPa
2017-05-05 20:15:01 31.2℃ 30.3％ 1016.37hPa
2017-05-05 20:15:23 31.2℃ 30.2％ 1016.42hPa
2017-05-05 20:15:45 31.1℃ 30.3％ 1016.35hPa
2017-05-05 20:16:08 31.1℃ 30.4％ 1016.39hPa
2017-05-05 20:16:30 31.1℃ 30.4％ 1016.36hPa
2017-05-05 20:16:52 31.1℃ 30.4％ 1016.39hPa
2017-05-05 20:17:17 31.1℃ 30.6％ 1016.42hPa
2017-05-05 20:17:39 31.2℃ 30.7％ 1016.46hPa
2017-05-05 20:18:04 31.1℃ 30.7％ 1016.45hPa
2017-05-05 20:18:26 31.1℃ 30.7％ 1016.46hPa
2017-05-05 20:18:49 31.1℃ 30.7％ 1016.47hPa
2017-05-05 20:19:11 31.1℃ 30.8％ 1016.48hPa
2017-05-05 20:19:33 31.1℃ 30.8％ 1016.46hPa
2017-05-05 20:19:56 31.0℃ 30.8％ 1016.47hPa
2017-05-05 20:20:18 31.1℃ 30.8％ 1016.48hPa
2017-05-05 20:20:40 31.0℃ 30.8％ 1016.57hPa
2017-05-05 20:21:05 31.0℃ 30.8％ 1016.47hPa
2017-05-05 20:21:27 31.1℃ 30.9％ 1016.56hPa
2017-05-05 20:21:50 31.0℃ 30.8％ 1016.59hPa
2017-05-05 20:22:12 31.1℃ 30.8％ 1016.54hPa
2017-05-05 20:22:47 31.1℃ 30.8％ 1016.57hPa
2017-05-05 20:23:09 31.0℃ 30.8％ 1016.65hPa
2017-05-05 20:23:32 31.1℃ 30.8％ 1016.60hPa
2017-05-05 20:24:01 31.0℃ 30.8％ 1016.58hPa
2017-05-05 20:24:24 31.1℃ 30.8％ 1016.61hPa
2017-05-05 20:24:46 31.0℃ 30.8％ 1016.57hPa
2017-05-05 20:25:08 31.0℃ 30.9％ 1016.63hPa
2017-05-05 20:25:31 31.1℃ 30.9％ 1016.59hPa
2017-05-05 20:25:53 31.1℃ 30.9％ 1016.63hPa
2017-05-05 20:26:15 31.0℃ 30.9％ 1016.65hPa
2017-05-05 20:26:38 31.0℃ 30.9％ 1016.63hPa
2017-05-05 20:27:00 30.9℃ 30.9％ 1016.63hPa
2017-05-05 20:27:22 30.9℃ 30.9％ 1016.61hPa
2017-05-05 20:27:45 30.9℃ 30.9％ 1016.65hPa
2017-05-05 20:28:07 31.0℃ 30.9％ 1016.67hPa
2017-05-05 20:28:29 30.9℃ 31.0％ 1016.62hPa
2017-05-05 20:28:54 30.9℃ 31.0％ 1016.62hPa
2017-05-05 20:29:16 30.9℃ 31.1％ 1016.62hPa
2017-05-05 20:29:39 30.9℃ 31.0％ 1016.61hPa
2017-05-05 20:30:01 30.9℃ 31.0％ 1016.61hPa
2017-05-05 20:30:23 30.9℃ 31.0％ 1016.70hPa
2017-05-05 20:30:45 30.9℃ 31.0％ 1016.69hPa
2017-05-05 20:31:08 30.9℃ 31.1％ 1016.69hPa
2017-05-05 20:31:30 30.9℃ 31.1％ 1016.68hPa
2017-05-05 20:31:52 30.9℃ 31.0％ 1016.61hPa
2017-05-05 20:32:15 31.0℃ 31.0％ 1016.69hPa
2017-05-05 20:32:45 30.9℃ 31.0％ 1016.66hPa
2017-05-05 20:33:07 31.0℃ 31.0％ 1016.73hPa
2017-05-05 20:33:29 30.9℃ 31.0％ 1016.66hPa
2017-05-05 20:33:51 30.9℃ 31.0％ 1016.67hPa
2017-05-05 20:34:14 30.9℃ 31.0％ 1016.70hPa
2017-05-05 20:34:36 30.9℃ 31.0％ 1016.66hPa
2017-05-05 20:34:58 30.8℃ 31.0％ 1016.70hPa
2017-05-05 20:35:21 30.9℃ 31.0％ 1016.64hPa
2017-05-05 20:35:43 30.8℃ 31.0％ 1016.68hPa
2017-05-05 20:36:05 30.8℃ 31.0％ 1016.65hPa
2017-05-05 20:36:28 30.9℃ 31.0％ 1016.72hPa
2017-05-05 20:36:50 30.8℃ 31.1％ 1016.66hPa
2017-05-05 20:37:12 30.9℃ 31.1％ 1016.64hPa
2017-05-05 20:37:37 30.8℃ 31.2％ 1016.67hPa
2017-05-05 20:37:59 30.7℃ 31.2％ 1016.72hPa
2017-05-05 20:38:22 30.8℃ 31.2％ 1016.76hPa
2017-05-05 20:38:44 30.7℃ 31.1％ 1016.69hPa
2017-05-05 20:39:06 30.7℃ 31.1％ 1016.77hPa
2017-05-05 20:39:29 30.8℃ 31.1％ 1016.73hPa
2017-05-05 20:39:51 30.7℃ 31.2％ 1016.75hPa
2017-05-05 20:40:13 30.7℃ 31.2％ 1016.73hPa
2017-05-05 20:40:36 30.7℃ 31.2％ 1016.77hPa
2017-05-05 20:41:00 30.7℃ 31.2％ 1016.79hPa
2017-05-05 20:41:25 30.8℃ 31.2％ 1016.79hPa
2017-05-05 20:41:48 30.8℃ 31.2％ 1016.81hPa
2017-05-05 20:42:10 30.7℃ 31.2％ 1016.72hPa
2017-05-05 20:42:32 30.7℃ 31.2％ 1016.78hPa
2017-05-05 20:42:55 30.8℃ 31.2％ 1016.76hPa
2017-05-05 20:43:17 30.8℃ 31.2％ 1016.82hPa
2017-05-05 20:43:39 30.7℃ 31.2％ 1016.79hPa
2017-05-05 20:44:01 30.7℃ 31.2％ 1016.83hPa
2017-05-05 20:44:24 30.8℃ 31.3％ 1016.76hPa
2017-05-05 20:44:46 30.7℃ 31.3％ 1016.81hPa
2017-05-05 20:45:08 30.7℃ 31.3％ 1016.81hPa
2017-05-05 20:45:38 30.7℃ 31.2％ 1016.83hPa
2017-05-05 20:46:01 30.9℃ 31.3％ 1016.83hPa
2017-05-05 20:46:23 30.7℃ 31.4％ 1016.80hPa
